feature_set,model,cv_ap,precision,recall,f1,auc_pr,roc_auc,brier,threshold,params
traditional,Logistic Regression,0.5351,0.3995,0.639,0.4917,0.5095,0.7749,0.1417,0.2414,"{""clf__C"": 0.1}"
traditional,Random Forest,0.5115,0.431,0.6426,0.5159,0.4897,0.7683,0.1441,0.2199,"{""max_depth"": 6, ""min_samples_leaf"": 20, ""n_estimators"": 200}"
traditional,XGBoost,0.4994,0.3645,0.7184,0.4836,0.467,0.761,0.1469,0.1981,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}"
alternative,Logistic Regression,0.6793,0.5067,0.8231,0.6272,0.6599,0.8815,0.1108,0.2283,"{""clf__C"": 10.0}"
alternative,Random Forest,0.6341,0.582,0.6534,0.6156,0.6289,0.8611,0.1182,0.3599,"{""max_depth"": 10, ""min_samples_leaf"": 20, ""n_estimators"": 200}"
alternative,XGBoost,0.6477,0.5814,0.6318,0.6055,0.644,0.8675,0.1161,0.365,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}"
