feature_set,model,precision,recall,f1,auc_pr,roc_auc
traditional,Logistic Regression,0.39300411522633744,0.6895306859205776,0.5006553079947575,0.5198695548166425,0.7767409589605263
traditional,Random Forest,0.4148148148148148,0.6064981949458483,0.49266862170087977,0.4935251114795347,0.7669495141380449
traditional,XGBoost,0.4117647058823529,0.6064981949458483,0.4905109489051095,0.4701986528039309,0.7548576919794747
alternative,Logistic Regression,0.5170068027210885,0.8231046931407943,0.6350974930362117,0.6678604224902663,0.8844097491475618
alternative,Random Forest,0.5164556962025316,0.7364620938628159,0.6071428571428571,0.6340875238186268,0.8629568753455203
alternative,XGBoost,0.5536723163841808,0.7075812274368231,0.6212361331220285,0.6410789159340999,0.8677728266072031
